mode,scenario,trial_id,success,collision,steps,path_length,path_smoothness,min_clearance,heading_stability,planning_cpu_time,execution_cpu_time,total_cpu_time,avg_planning_time_per_step,max_speed,avg_speed
Hybrid,open,0,True,False,94,11.535844863320955,1.7531344743902246,0.6343782736749507,0.016011303370428172,3.909600257873535,0.001695871353149414,3.9112961292266846,0.04160953328964558,1.5,1.2272175386511666
Hybrid,open,1,True,False,96,11.594605771528721,1.8979375065964212,0.6637443224527144,0.017029131471650805,3.7332117557525635,0.0018773078918457031,3.735089063644409,0.03890717774629593,1.5,1.2077714345342423
Hybrid,open,2,True,False,93,11.507999999999994,1.6051739922129795,0.49201322430085737,0.014291577593853737,3.7897562980651855,0.002907276153564453,3.79266357421875,0.04078132875504032,1.5,1.2374193548387096
Hybrid,open,3,True,False,98,11.595640915255837,1.9425779526202895,0.6790522476458906,0.01690127955343213,4.039066553115845,0.005142688751220703,4.044209241867065,0.04126744124354148,1.5,1.183228664822024
Hybrid,open,4,True,False,96,11.60311712780075,1.9154124138179955,0.7042211705267709,0.01749794763077164,4.4893035888671875,0.0018277168273925781,4.49113130569458,0.04678261776765188,1.5,1.2086580341459114
Hybrid,open,5,True,False,94,11.540734886259955,1.6894583352494679,0.7140720183374618,0.015241295361060768,4.008074045181274,0.0017383098602294922,4.009812355041504,0.04265757824512238,1.5,1.227737753857441
Hybrid,open,6,True,False,106,11.511262853057039,2.217682392739634,0.6166127328452654,0.018147253739760484,3.830360174179077,0.001871347427368164,3.8322315216064453,0.03615312756232496,1.5,1.085968193684626
Hybrid,open,7,True,False,93,11.537043379458545,1.5572662661371421,0.650889380564721,0.013826510159944818,3.790424108505249,0.003577709197998047,3.794001817703247,0.04079571846992739,1.5,1.2405422988665102
Hybrid,open,8,True,False,100,11.503408657777605,2.0038005443144398,0.3584254778691368,0.01726189019247354,3.863095760345459,0.0029172897338867188,3.8660130500793457,0.038660130500793456,1.5,1.1503408657777605
Hybrid,open,9,True,False,94,11.553784813974119,1.7628895714961552,0.5561686154874713,0.015250590221073302,4.102343320846558,0.0016105175018310547,4.103953838348389,0.043659083386684984,1.5,1.2291260440397997
