mode,scenario,trial_id,success,collision,steps,path_length,path_smoothness,min_clearance,heading_stability,planning_cpu_time,execution_cpu_time,total_cpu_time,avg_planning_time_per_step,max_speed,avg_speed,ga_generations
Offline_AEGAfi,dynamic,0,True,False,87,11.52,0.5649284411913945,0.9314854060748007,0.0016235216736820628,4.6554083824157715,0.001982450485229492,4.657390832901001,0.05351044117719277,1.5,1.3241379310344827,200
Offline_AEGAfi,dynamic,1,True,False,87,11.519999999999994,0.5216348565493208,0.8607615106026104,0.000926111347434437,4.441897392272949,0.001523733139038086,4.443421125411987,0.05105629186520631,1.5,1.324137931034483,200
Offline_AEGAfi,dynamic,2,True,False,87,11.52,0.650769178845207,1.0050871630787857,0.003190496590112397,5.31875205039978,0.0021491050720214844,5.320901155471802,0.061135081039077936,1.5,1.3241379310344827,200
Offline_AEGAfi,dynamic,3,True,False,87,11.520000000000003,0.6196587110399324,1.0298268036541889,0.0031535491283455636,4.785156726837158,0.0018322467803955078,4.786988973617554,0.05500180145789837,1.5,1.324137931034483,200
Offline_AEGAfi,dynamic,4,True,False,87,11.508000000000006,0.6018652115086597,0.8159253499799871,0.002583763585645571,4.171702146530151,0.003397226333618164,4.1750993728637695,0.04795059938540404,1.5,1.3227586206896553,200
Offline_AEGAfi,dynamic,5,True,False,87,11.52,0.923155039962777,0.4613515811634131,0.00693032162491182,4.358685731887817,0.0010581016540527344,4.35974383354187,0.05009983599871055,1.5,1.3241379310344827,200
Offline_AEGAfi,dynamic,6,True,False,87,11.52,0.7353629243299117,1.1440555037585356,0.0047192716014464765,4.645653009414673,0.0010652542114257812,4.646718263626099,0.05339831045304222,1.5,1.3241379310344827,200
Offline_AEGAfi,dynamic,7,True,False,87,11.519999999999992,0.5944240142838365,0.8890321952402972,0.0021944128792356224,3.9136271476745605,0.001146554946899414,3.91477370262146,0.04498422008821334,1.5,1.3241379310344827,200
Offline_AEGAfi,dynamic,8,True,False,87,11.52,0.7078713575554874,0.7540230804904394,0.0039265580478397445,4.678985834121704,0.002225637435913086,4.681211471557617,0.05378144636921499,1.5,1.324137931034483,200
Offline_AEGAfi,dynamic,9,True,False,87,11.519999999999992,0.7290869667751674,1.1528243406553527,0.004553361910947881,4.473037004470825,0.0015835762023925781,4.474620580673218,0.05141421844219339,1.5,1.3241379310344827,200
