mode,scenario,trial_id,success,collision,steps,path_length,path_smoothness,min_clearance,heading_stability,planning_cpu_time,avg_planning_time_per_step,max_speed,avg_speed
Online_APF,channel,0,True,False,92,11.401500000000004,0.5508788917024438,1.7500025599983617,0.0,0.003607034683227539,3.920689873073412e-05,1.5,1.2392934782608678
Online_APF,channel,1,True,False,92,11.401500000000004,0.5508788917024438,1.7500025599983617,0.0,0.005835533142089844,6.342970806619395e-05,1.5,1.2392934782608678
Online_APF,channel,2,True,False,92,11.401500000000004,0.5508788917024438,1.7500025599983617,0.0,0.006153583526611328,6.688677746316661e-05,1.5,1.2392934782608678
Online_APF,channel,3,True,False,92,11.401500000000004,0.5508788917024438,1.7500025599983617,0.0,0.0034797191619873047,3.7823034369427226e-05,1.5,1.2392934782608678
Online_APF,channel,4,True,False,92,11.401500000000004,0.5508788917024438,1.7500025599983617,0.0,0.0025506019592285156,2.7723934339440387e-05,1.5,1.2392934782608678
Online_APF,channel,5,True,False,92,11.401500000000004,0.5508788917024438,1.7500025599983617,0.0,0.002549409866333008,2.7710976807967477e-05,1.5,1.2392934782608678
Online_APF,channel,6,True,False,92,11.401500000000004,0.5508788917024438,1.7500025599983617,0.0,0.002506732940673828,2.7247097181237262e-05,1.5,1.2392934782608678
Online_APF,channel,7,True,False,92,11.401500000000004,0.5508788917024438,1.7500025599983617,0.0,0.0026693344116210938,2.9014504474142324e-05,1.5,1.2392934782608678
Online_APF,channel,8,True,False,92,11.401500000000004,0.5508788917024438,1.7500025599983617,0.0,0.002516031265258789,2.734816592672597e-05,1.5,1.2392934782608678
Online_APF,channel,9,True,False,92,11.401500000000004,0.5508788917024438,1.7500025599983617,0.0,0.00261688232421875,2.844437308933424e-05,1.5,1.2392934782608678
