mode,scenario,difficulty,trial_id,success,collision,steps,path_length,path_smoothness,min_clearance,planning_cpu_time,execution_cpu_time,num_obstacles
Offline_AEGAfi,open,hard,0,True,False,108,14.670000000000009,3.54644655727849,0.3717017530087614,7.520590782165527,0.0013146400451660156,6
Offline_AEGAfi,open,hard,1,True,False,88,11.669999999999998,1.8621381468261513,0.2853471959176047,7.226040363311768,0.0010242462158203125,6
Offline_AEGAfi,open,hard,2,False,True,178,25.169999999999952,6.894148317083467,0.11249495452707658,7.6809892654418945,0.002246856689453125,6
Offline_AEGAfi,open,hard,3,False,True,86,11.386000000000006,2.525002035466016,0.059179695744710936,7.092669248580933,0.0013675689697265625,6
Offline_AEGAfi,open,hard,4,True,False,101,13.592000000000004,3.453352481894427,0.3168505182490564,6.500821352005005,0.0026679039001464844,6
Offline_AEGAfi,open,hard,5,True,False,101,13.608000000000008,3.499455530158476,0.287808209862359,8.037038326263428,0.0014491081237792969,6
Offline_AEGAfi,open,hard,6,False,True,76,9.882000000000001,3.0972502125361356,0.05638073079493855,7.726125240325928,0.0009021759033203125,6
Offline_AEGAfi,open,hard,7,True,False,88,11.669999999999998,1.9033146942477883,0.3668388155357215,6.626877069473267,0.0011272430419921875,6
Offline_AEGAfi,open,hard,8,False,True,166,23.369999999999994,6.334945761750395,0.05450833984254089,7.087646961212158,0.003749370574951172,6
Offline_AEGAfi,open,hard,9,True,False,103,13.548000000000004,3.4924159382581164,0.34353687461087756,7.145812273025513,0.0012240409851074219,6
