mode,scenario,difficulty,trial_id,success,collision,steps,path_length,path_smoothness,min_clearance,planning_cpu_time,num_obstacles
Online_APF,open,hard,0,False,True,53,6.468000000000001,1.2484825787429026,0.10070073420387893,0.0016660690307617188,6
Online_APF,open,hard,1,False,True,53,6.468000000000001,1.2484825787429026,0.10070073420387893,0.0031812191009521484,6
Online_APF,open,hard,2,False,True,53,6.468000000000001,1.2484825787429026,0.10070073420387893,0.001707315444946289,6
Online_APF,open,hard,3,False,True,53,6.468000000000001,1.2484825787429026,0.10070073420387893,0.0010831356048583984,6
Online_APF,open,hard,4,False,True,53,6.468000000000001,1.2484825787429026,0.10070073420387893,0.0010883808135986328,6
Online_APF,open,hard,5,False,True,53,6.468000000000001,1.2484825787429026,0.10070073420387893,0.0012691020965576172,6
Online_APF,open,hard,6,False,True,53,6.468000000000001,1.2484825787429026,0.10070073420387893,0.0023605823516845703,6
Online_APF,open,hard,7,False,True,53,6.468000000000001,1.2484825787429026,0.10070073420387893,0.0015866756439208984,6
Online_APF,open,hard,8,False,True,53,6.468000000000001,1.2484825787429026,0.10070073420387893,0.0012867450714111328,6
Online_APF,open,hard,9,False,True,53,6.468000000000001,1.2484825787429026,0.10070073420387893,0.0010442733764648438,6
